CodSite;lat;long;specie;NumIndiv;habitat
Site3;-22.7222082;-42.628058;Dalbergia nigra (Vell.) AllemÃ£o ex Benth.;1;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Dalbergia nigra (Vell.) AllemÃ£o ex Benth.;13;Montane Seasonal Atlantic Forest 
Site1;-20.798333;-41.292778;Dalbergia nigra (Vell.) AllemÃ£o ex Benth.;7;Submontane Seasonal Atlantic Forest
Site13;-21.999167;-43.890833;Dalbergia nigra (Vell.) AllemÃ£o ex Benth.;2;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Daphnopsis coriacea Taub.;3;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Daphnopsis coriacea Taub.;38;Submontane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Daphnopsis racemosa Griseb.;1;Mixed Ombrophilous Atlantic Forest
Site15;-27.816111;-50.324167;Dasyphyllum brasiliense (Spreng.) Cabrera;11;Mixed Ombrophilous Atlantic Forest
Site8;-22.710833;-45.931667;Dasyphyllum flagellare (Casar.) Cabr.;0;High-montane Dense Ombrophilous Atlantic Forest
Site15;-27.816111;-50.324167;Dasyphyllum spinescens (Less.) Cabrera;24;Mixed Ombrophilous Atlantic Forest
Site7;-7.633333;-35.5;Dendropanax arboreum (L.) Decne.;10;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Dialium guianense (Aubl.) Sandwith;27;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Dialium guianense (Aubl.) Sandwith;57;Lowlands Seasonal Atlantic Forest 
Site16;-8.016667;-35.174167;Dialium guianense (Aubl.) Sandwith;7;Lowlands Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Dichorisandra hexandra (Aubl.) Standl.;0;Montane Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Dichorisandra thyrsiflora J.C. Mikan;0;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Dicksonia sellowiana Hook.;4;Montane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Dicksonia sellowiana Hook.;39;Mixed Ombrophilous Atlantic Forest
Site12;-22.003611;-43.888333;Dictyoloma vandellianum A.Juss.;1;0
Site13;-21.999167;-43.890833;Dictyoloma vandellianum A.Juss.;1;Montane Dense Ombrophilous Atlantic Forest 
Site8;-22.710833;-45.931667;Didymopanax angustissimum E. Marchand;0;High-montane Dense Ombrophilous Atlantic Forest
Site7;-7.633333;-35.5;Diospyros guianensis (Aubl.) GÃ¼rke;12;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Diploon cuspidatum (Hoehne) Cronquist;2;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Diploon cuspidatum (Hoehne) Cronquist;2;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Diplotropis purpurea (Rich.) Amshoff;23;Montane Dense Ombrophilous Atlantic Forest 
Site16;-8.016667;-35.174167;Dipteryx odorata (Aubl.) Willd.;1;Lowlands Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Discophora guianensis Miers;1;Montane Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Dorstenia carautae C.C. Berg;0;Montane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Drimys brasiliensis Miers;13;Mixed Ombrophilous Atlantic Forest
Site14;-21.976389;-43.878889;Drimys brasiliensis Miers;12;Montane Cloud Atlantic Forest
Site13;-21.999167;-43.890833;Duguetia lanceolata A.S t.-Hil.;7;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Duguetia lanceolata A.S t.-Hil.;4;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Duguetia lanceolata A.S t.-Hil.;6;Montane Seasonal Atlantic Forest 
Site10;-20.673889;-40.393889;Dulacia singularis Vell.      ;6;Submontane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Duranta vestita Cham.;40;Mixed Ombrophilous Atlantic Forest
Site1;-20.798333;-41.292778;Ecclinusa ramiflora Mart;22;Submontane Seasonal Atlantic Forest
Site2;-22.528333;-50.715556;Ecclinusa ramiflora Mart;5;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Ecclinusa ramiflora Mart;1;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Endlicheria glomerata Mez;2;Montane Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Endlicheria paniculata (Spreng.) J.F.Macbr.;26;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Eriotheca crenulaticalyx A. Robyns;8;Lowlands Seasonal Atlantic Forest 
Site6;-19.616667;-43.4;Eriotheca macrophylla (K.Schum.) A.Robyns;2;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Eriotheca macrophylla (K.Schum.) A.Robyns;1;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns;1;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns;29;Submontane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Erythrina falcata Benth.;2;Montane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Erythrina speciosa Andrews;1;Montane Seasonal Atlantic Forest 
Site11;-8.032611;-35.192125;Erythroxylum affine A. St.-Hil.;2;Lowlands Seasonal Atlantic Forest 
Site16;-8.016667;-35.174167;Erythroxylum citrifolium A.St.-Hil.;5;Lowlands Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Erythroxylum cuneifolium (Mart.) O.E.Schulz;11;Mixed Ombrophilous Atlantic Forest
Site2;-22.528333;-50.715556;Erythroxylum cuneifolium (Mart.) O.E.Schulz;4;Montane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Erythroxylum deciduum A.St.-Hil.;4;Mixed Ombrophilous Atlantic Forest
Site10;-20.673889;-40.393889;Erythroxylum oxypetalum O.E. Schulz     ;4;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Erythroxylum pelleterianum A.St.-Hil.;6;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Erythroxylum pelleterianum A.St.-Hil.;21;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Erythroxylum pulchrum A.St.-Hil.;1;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Erythroxylum pulchrum A.St.-Hil.;6;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Erythroxylum pulchrum A.St.-Hil.;2;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Erythroxylum squamatum Sw.;9;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Eschweilera alvimii S.A. Mori;2;Lowlands Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Eschweilera ovata (Cambess.) Mart. ex Miers;45;Montane Dense Ombrophilous Atlantic Forest 
Site16;-8.016667;-35.174167;Eschweilera ovata (Cambess.) Mart. ex Miers;44;Lowlands Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Eschweilera ovata (Cambess.) Miers;28;Lowlands Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Esenbeckia grandiflora Mart.;2;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Eugenia acutata Miq.;13;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Eugenia ayacuchae Steyerm.;2;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Eugenia bacopari D.Legrand;2;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Eugenia bahiensis O. Berg     ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia bahiensis O. Berg     ;20;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Eugenia brasiliensis Lam.;2;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Eugenia brasiliensis Lam.;2;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia cambucae Mattos;4;Montane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Eugenia candolleana DC.;4;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Eugenia cerasiflora Miq.;2;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia chlorophylla O.Berg;3;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia chlorophylla O.Berg;6;Submontane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Eugenia diplocampta Diels;2;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia excelsa O. Berg     ;29;Submontane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia expansa Spring ex Mart.;1;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Eugenia involucrata DC.;14;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia mandioccensis O.Berg;2;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia microcarpa O.Berg;8;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia monosperma Vell.      ;5;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Eugenia nutans O.Berg;3;Montane Seasonal Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia pisiformis Cambess.;17;Montane Dense Ombrophilous Atlantic Forest 
Site8;-22.710833;-45.931667;Eugenia pluriflora DC.;0;High-montane Dense Ombrophilous Atlantic Forest
Site15;-27.816111;-50.324167;Eugenia pluriflora DC.;6;Mixed Ombrophilous Atlantic Forest
Site3;-22.7222082;-42.628058;Eugenia pruniformis Cambess.;3;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia punicifolia (H.B.K.) DC.     ;5;Submontane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Eugenia pyriformis Cambess.;9;Mixed Ombrophilous Atlantic Forest
Site10;-20.673889;-40.393889;Eugenia rostrata O. Berg     ;14;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia speciosa Cambess.      ;2;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Eugenia strictissima Govaerts;1;Montane Seasonal Atlantic Forest 
Site2;-22.528333;-50.715556;Eugenia subavenia O.Berg;1;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Eugenia tenuipedunculata Kiaersk.;6;Montane Seasonal Atlantic Forest 
Site10;-20.673889;-40.393889;Eugenia umbelliflora O. Berg.     ;4;Submontane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Eugenia uruguayensis Cambess.;3;Mixed Ombrophilous Atlantic Forest
Site2;-22.528333;-50.715556;Eugenia vattimoana Mattos;29;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Eugenia widgrenii Sond. ex O.Berg;1;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Eugenia widgrenii Sond. ex O.Berg;63;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Eugenia widgrenii Sond. ex O.Berg;7;Montane Cloud Atlantic Forest
Site2;-22.528333;-50.715556;Euterpe edulis Mart.;45;Montane Dense Ombrophilous Atlantic Forest 
